game_id,game_mode_id
881,1
881,2
1243,1
1243,2
9105,1
8511,1
769,1
769,2
769,3
164,1
55038,1
10184,1
10184,2
10184,3
10184,4
109419,1
21591,1
21591,2
24856,1
10917,1
54844,1
2917,1
5787,1
26223,1
7311,1
8851,1
8851,2
20063,1
20063,3
5850,1
5850,4
81128,1
95668,1
95668,2
95668,4
4063,1
4063,4
6063,1
131931,1
9279,1
9279,2
9279,3
9166,1
9166,2
9166,4
144037,1
6743,1
238675,1
136414,1
19550,1
19550,2
19550,3
11460,1
16478,1
111650,1
111650,2
1375,1
1375,2
3612,1
3612,2
3612,4
5042,1
2203,1
3324,1
13230,1
7324,1
7324,2
7324,3
8471,1
8471,2
121748,1
15823,1
7364,1
9562,1
8216,1
8216,2
11091,1
53276,1
75234,1
75234,2
75234,3
9523,1
9523,2
7099,1
7099,2
7099,4
725,1
1168,1
1168,2
1168,4
6268,1
119247,1
9623,1
9623,2
9623,3
15646,1
5716,1
1406,1
1697,1
5126,1
5126,2
5126,3
5126,4
20009,1
20009,2
9765,1
8122,1
246166,1
246166,2
246166,3
2251,1
2251,2
1250,1
1341,1
128097,1
225565,1
55,1
3221,1
129097,1
111117,1
41812,1
10973,1
82117,1
39185,2
131888,1
131888,2
131888,3
131888,4
21592,1
3976,1
19902,1
19902,6
23251,1
146761,1
4236,1
4236,4
29065,1
222099,1
222099,2
464,1
464,2
6777,1
32964,1
165346,1
165346,2
165346,3
100359,1
100359,2
100359,3
5883,1
5883,2
174897,1
174897,2
174897,3
19979,1
23066,1
23066,2
2543,1
2543,2
324,1
324,2
14418,1
5339,1
339,1
339,2
339,3
310545,1
2109,1
12857,1
21843,1
41037,1
3762,1
9538,1
9538,2
9538,3
4123,1
4123,2
4123,4
23769,1
152180,1
295,1
295,2
27241,1
649,1
649,2
18785,1
245,1
245,2
647,1
647,2
159,1
159,2
26879,1
41858,2
41858,3
24223,1
970,1
8254,1
15108,1
424,1
20456,1
20456,3
497,1
497,3
81085,1
81085,2
81085,3
966,1
76882,1
967,1
973,1
973,2
55322,1
19319,1
19319,2
7725,1
7725,2
7725,3
7725,4
14247,1
14247,2
228374,1
228374,3
26364,1
26364,2
26364,3
4132,1
5444,1
5444,2
5444,3
144687,1
26193,1
26193,2
22502,1
22502,2
22502,3
41876,1
5503,1
7406,1
41877,1
968,1
968,2
1583,1
10632,1
6522,1
119277,1
119277,2
119277,3
3641,1
3641,2
3641,4
25821,1
12340,1
12340,2
558,1
11241,1
11241,2
13134,1
8603,1
5612,1
9082,1
9693,1
9693,2
119357,1
58075,1
2322,1
2322,3
341,1
143574,1
143574,2
143574,3
6224,1
6224,4
74567,1
10479,1
5534,1
22783,1
84799,1
16733,1
16733,2
16733,3
2481,1
8072,1
2327,1
2327,2
2327,3
2327,4
9906,1
188,1
121586,1
121586,2
121586,3
192906,1
744,1
5972,1
2003,1
2003,2
103316,1
103316,2
103316,3
21972,1
25513,1
8429,1
9757,1
165347,1
8130,1
27862,1
9078,1
9078,2
6910,1
6910,2
6910,4
1272,1
45964,1
195868,1
195868,2
318284,1
138235,2
138235,6
134799,1
6698,1
5342,1
6517,1
6517,2
1333,1
1333,2
10962,1
2630,1
2630,2
2630,3
72813,1
72813,2
72813,3
72813,4
2165,1
2165,2
2165,3
2165,5
11426,1
11426,2
11426,3
2235,1
2235,2
152262,1
7088,1
7088,2
7088,3
2603,1
2603,2
926,1
926,2
37067,1
37067,2
7886,1
7886,2
7886,3
1025,1
10489,1
8173,2
14569,1
1086,1
52190,1
52190,2
52190,3
14568,1
2336,1
2336,2
2336,3
133301,1
133301,2
133301,3
133301,4
14402,1
11762,1
8118,1
8332,1
8332,2
8332,4
4391,1
9580,1
3662,1
7129,1
7129,2
7129,5
127343,1
127343,2
10844,1
3186,1
3186,2
4969,1
4969,2
4969,3
24369,1
161,1
6160,1
6160,3
20031,1
14731,1
14731,2
14731,3
2681,1
2681,2
2681,3
2681,4
5421,1
44463,1
4181,1
72373,1
2636,1
2636,2
8307,1
8307,2
8307,3
28548,1
171704,1
144,1
144,2
15863,1
15863,2
122556,1
158,1
4182,1
4182,3
4182,4
3815,1
3815,2
3815,3
110419,1
35577,1
7758,1
7758,2
3465,1
3465,2
3465,4
5471,1
5471,2
5471,4
3327,1
145,5
2741,1
2741,2
190,1
190,2
2430,1
156,1
8560,1
8560,2
8560,3
8560,4
614,1
19623,1
19623,2
4026,1
4026,4
475,1
475,2
1567,1
1567,2
28282,1
18044,1
18044,2
30099,1
30099,2
2679,1
2679,2
2679,4
103329,1
476,1
476,2
306153,1
21084,1
6252,1
6252,4
19164,1
19164,2
19164,3
19164,4
138354,1
138354,2
138354,3
848,1
848,2
13919,1
13919,2
13919,3
1390,1
1390,2
144098,1
144098,2
144098,3
222873,1
3471,1
2179,1
13233,1
10199,1
18352,1
18352,2
18352,3
17219,1
2685,1
2685,3
7740,1
277807,1
3445,1
105049,1
105049,2
105049,3
7628,1
7628,2
3383,1
13927,1
13927,2
13927,3
141540,1
4345,1
4345,2
4345,3
21838,1
21838,3
14678,1
76263,1
43895,1
136511,1
6452,1
6452,2
142213,1
7307,1
11885,1
11885,2
78452,1
78452,2
78452,3
8290,1
76638,1
665,1
665,2
11346,1
21798,1
569,1
569,2
1225,1
2761,1
262516,1
342,1
342,2
260737,1
7386,1
123775,1
538,1
18866,1
18866,2
18866,3
2984,1
2984,2
2984,3
2984,4
6159,1
6159,2
984,1
984,2
4578,1
8351,1
8351,2
8351,3
11737,1
145268,1
1246,1
1246,2
1238,1
1238,2
2207,1
1770,1
1013,1
1013,2
22251,1
1221,1
4006,1
7704,1
20196,1
13104,1
11859,1
11859,2
4786,1
19836,1
699,1
699,2
1346,1
4203,1
4203,2
4674,1
4674,4
914,2
939,1
1886,1
1886,2
1886,3
168,1
5231,1
5231,2
5231,4
216958,1
1321,1
342760,1
1347,1
1347,2
1418,1
1418,2
1418,4
145817,1
2413,1
9348,1
9348,2
5899,1
5899,4
7812,1
3753,1
3109,1
20289,1
4348,1
106270,1
2604,1
2604,2
2604,3
174844,1
2267,1
2267,2
2968,1
6269,1
8986,1
11071,1
11071,2
11071,3
24054,1
314252,1
314252,2
314252,3
998,1
19986,1
164867,1
12153,1
12153,2
12153,3
2569,1
2569,2
2558,1
2558,2
178283,1
178283,2
24269,1
52006,1
44884,1
21701,1
21701,2
653,1
653,2
653,3
2566,1
2566,2
19835,1
26031,1
20111,1
2563,1
2563,2
2254,1
2254,2
2254,4
2546,1
2546,2
113689,1
26034,1
2581,1
2581,2
1587,1
26116,1
19311,1
19311,2
1413,1
1413,2
19308,1
21196,1
2576,1
2576,2
2577,1
2577,2
19958,1
19958,2
19958,3
19958,4
2987,2
227987,1
227987,2
2564,1
2564,2
3896,1
3896,4
279336,1
279336,2
2567,1
2567,2
3977,1
92589,5
6387,1
6387,2
263446,1
546,1
546,2
142661,1
142661,2
14988,1
14988,2
14988,3
19348,2
16203,1
273,1
273,2
9554,1
9349,1
9349,2
4891,1
4891,4
5349,1
131784,1
131784,3
8947,2
8947,3
8947,5
11790,1
6036,1
6036,2
45232,1
166,1
22816,1
22816,2
22754,1
42489,1
42489,2
42489,3
77,1
9350,1
9350,2
12309,1
12309,2
338106,1
338106,2
12235,1
12235,2
36926,1
36926,2
36926,3
2976,2
2976,3
2976,5
118273,1
118273,2
118273,3
5847,1
5847,2
5847,3
26764,1
26764,2
26764,4
97258,1
97258,2
97258,3
97258,5
26758,1
26758,3
7346,1
19564,1
16310,1
27421,1
9878,1
11156,1
5241,1
5241,2
25637,1
25637,2
2733,1
2733,2
2733,4
7323,1
7323,3
8075,1
8075,3
6075,1
6075,3
351,2
379,1
2699,1
2699,4
913,1
913,2
913,4
19135,1
44545,1
44545,3
1887,1
1887,2
1887,3
17464,1
23579,1
23579,2
390,1
141373,1
6076,1
6076,2
6076,3
1806,1
43036,1
682,1
682,2
250645,1
250645,2
250645,3
983,1
983,2
221824,1
45507,1
302,1
302,2
149275,1
8758,1
989,1
989,2
989,3
4966,1
4966,2
4966,3
4966,4
6077,1
6077,3
11966,1
11966,2
9061,1
9061,2
9061,3
7966,1
7966,2
9543,1
3889,1
3889,2
3889,4
240,1
240,2
2331,1
2331,2
2331,3
2331,4
138932,1
138932,2
138932,3
3192,1
5706,1
5706,2
1797,1
1797,2
1797,3
1797,4
127036,1
5833,1
5833,2
5833,4
143335,1
143335,2
253735,5
135243,2
135243,3
135243,4
20480,1
20480,2
20480,4
139968,1
279661,1
279661,2
279661,3
11672,1
11672,2
135940,1
1355,1
1355,2
1355,3
2520,1
192113,1
240009,1
240009,2
240009,3
142242,1
5536,1
8163,1
8163,2
8163,3
180,1
5533,1
8719,1
891,2
891,3
247578,1
226,1
414,1
414,2
5535,1
115,2
115,3
214790,1
9596,3
9596,5
1595,1
1595,2
1595,5
120176,1
120176,2
15707,2
1599,1
1599,2
1599,4
9891,1
9891,2
9282,1
376,1
101006,1
101006,2
101006,4
6969,1
6969,2
134606,1
134606,2
134606,3
171274,1
171274,2
23094,1
23094,2
1075,1
6359,2
6359,3
5379,1
299,1
299,2
338067,1
338067,2
338067,4
11283,5
2971,2
2971,5
317627,1
1036,1
2580,1
2580,2
243,1
2148,1
2765,1
12078,1
6356,1
6356,2
1442,1
131890,1
131890,2
131890,3
19309,1
19309,2
1912,1
1912,2
1912,3
1912,5
142494,1
142494,2
1638,1
1638,2
1638,4
7113,1
7113,2
7113,4
1576,1
6710,1
6710,2
8267,1
4035,1
4035,4
16365,1
481,1
174,1
174,2
20398,1
2686,1
9178,1
1187,1
1819,1
83727,1
83727,2
83727,3
83727,4
1271,1
174521,2
174521,3
174521,5
3126,5
233,1
980,1
980,2
2985,1
215,5
5105,1
18055,1
1528,1
2844,1
2844,2
2844,4
191478,1
191478,3
2485,1
1577,1
7862,1
7862,2
7862,4
117315,1
78451,1
6704,1
6704,2
1441,1
5619,1
5619,2
5619,3
2967,1
3418,1
3418,2
3418,4
3849,1
3849,2
3849,4
3041,1
7558,1
7558,3
9508,1
19918,1
19918,2
480,1
125,1
125,2
125,3
1684,1
1684,2
1684,4
25358,1
25358,2
9669,1
5146,1
133890,1
4170,1
1227,1
6453,1
6453,2
6453,4
536,1
536,2
536,3
9894,1
9894,2
9894,4
1939,1
1939,2
1939,3
1939,5
5519,1
11759,1
20010,2
2720,1
2720,2
22510,1
22510,2
22510,3
22510,4
124701,1
124701,2
1286,1
1286,2
1286,4
2957,1
2957,3
1108,1
1108,2
2177,1
2177,2
2177,3
4959,1
2359,1
2359,2
2359,3
1653,1
1653,2
1653,3
4630,1
4630,2
1481,1
1481,2
223,1
3140,1
305296,1
483,1
2842,1
2842,4
99,1
99,2
99,4
1141,1
1141,2
6990,1
6990,3
6990,4
1215,1
90990,1
90990,2
1842,1
1842,2
1842,4
1028,1
12143,1
5,1
5,3
7357,1
1926,1
14751,1
1360,1
1105,1
2167,1
41,1
41,2
2787,1
2787,2
5642,1
5642,2
20286,1
2135,1
2135,2
1430,1
2678,1
2678,2
2678,4
11212,1
3726,1
3726,2
7841,1
11179,1
11179,2
3856,1
5348,1
43,1
2140,1
2140,2
2140,3
4755,1
2683,1
20193,1
2182,1
2182,2
2182,4
37094,1
20478,1
482,1
5974,1
11714,1
11714,2
11714,3
224522,1
522,1
522,3
1426,1
1204,1
1204,2
1204,3
1204,4
37,1
1463,1
1463,2
1463,3
1463,4
452,1
3750,1
499,1
37066,1
37066,2
37066,3
37066,4
317317,1
1280,1
11292,1
6883,1
136981,1
334243,1
334243,2
334243,4
19000,1
1111,1
16973,1
136000,1
1963,1
8973,1
8973,2
115830,1
74701,1
28552,1
28552,2
28552,3
1601,1
1601,2
1601,4
5378,1
7333,1
7333,2
7333,3
8948,1
15861,1
26401,1
26401,2
26401,3
119391,1
200903,1
8684,1
6285,1
2031,1
1833,1
1833,2
152259,1
2587,1
2587,2
329132,1
142415,1
279641,1
7029,1
7029,2
89594,1
89594,2
8410,1
8410,2
8410,3
8410,5
252476,1
119234,1
119234,2
119234,3
3087,1
78511,1
78511,2
78511,3
165351,1
165351,2
165351,3
165351,4
9418,1
139346,1
139346,2
235846,1
16607,1
305159,1
1004,1
21604,1
21604,2
14725,1
4229,1
19965,1
19965,2
5552,1
5552,3
115846,1
16748,1
16748,2
4534,1
15430,1
15430,2
15430,4
1291,1
1291,2
573,1
16741,5
27413,1
5560,1
5560,2
134826,1
7894,1
252826,1
5845,1
221285,1
221286,1
248580,1
7777,1
7777,2
138590,1
138590,2
138590,3
7858,1
7858,2
7858,4
279642,1
5842,1
5842,2
5842,3
5842,4
29411,1
29411,2
29411,3
199116,1
199116,2
199116,3
135998,1
135998,2
135998,3
7380,3
7658,1
228531,1
240556,1
100,1
100,2
7603,1
26602,1
10233,1
10233,2
10233,3
13676,1
119161,1
119161,2
119161,3
1621,1
1621,2
6782,1
314243,1
314243,2
314243,3
314243,4
521,1
8775,1
8775,2
21349,1
36952,1
5311,1
5311,2
5311,3
5311,4
3262,1
3262,2
786,1
786,2
3772,1
3772,2
119402,1
380,1
79247,1
18735,1
5606,1
5606,2
5606,3
136,1
4127,1
9545,1
9545,2
9545,3
5828,1
51267,1
121618,1
121618,2
121618,3
121618,4
555,1
555,2
555,3
2695,1
2695,2
2695,3
2695,4
4756,1
4756,2
4756,3
342721,1
342721,2
342721,3
342721,4
214,1
214,2
3450,1
3450,2
3450,4
1465,1
1465,2
1532,1
1532,2
1532,4
181,1
9540,1
9540,2
9600,1
2143,1
2143,2
2143,3
2143,4
171225,1
6082,1
109826,1
109826,2
109826,3
109826,5
109826,6
9927,1
11162,1
11162,2
11162,3
27448,1
193359,1
193359,2
116100,1
109532,1
553,1
17460,1
17460,2
299596,5
127342,1
136604,1
1652,1
1652,2
1652,3
1956,1
7329,1
7329,2
7329,3
1820,1
1820,2
1820,3
119285,1
329130,1
5623,1
5623,2
119342,2
222803,1
222803,2
222803,3
552,1
37024,1
19626,1
19626,2
257,1
257,2
3197,1
37062,1
37062,2
37062,3
11793,1
13205,1
13205,2
13205,3
4575,1
4575,4
2594,1
104,5
554,1
554,2
15620,1
15620,2
495,1
22565,1
4135,1
4135,2
28729,1
28729,2
26183,1
26183,2
26183,3
4604,1
4604,2
78,1
239064,1
239064,2
239064,3
44967,1
7349,1
7349,2
7349,3
11148,1
11148,2
11148,3
1284,1
121957,1
121957,2
2927,1
2927,2
222097,1
222097,2
18150,1
18150,2
1804,1
234256,1
234256,2
234256,3
1262,1
51311,1
51311,2
51311,4
11172,1
11172,2
11172,3
11172,4
11172,5
295252,1
2117,2
2117,3
2117,5
2117,6
2767,1
260780,1
260780,2
260780,3
4622,1
4622,2
4622,3
11155,1
11155,2
11155,3
55072,1
55072,2
55072,3
99118,1
8240,1
8240,2
1970,1
1970,2
1970,3
526,1
526,2
90099,1
90099,2
90099,3
90099,5
217815,1
217815,2
217815,3
217815,6
133004,1
20880,1
20880,2
20880,3
3953,1
3953,2
3953,4
19525,1
233585,1
5413,1
5413,2
5413,3
5413,4
38780,1
325580,1
204634,1
14363,1
14363,2
14363,4
141229,1
141229,2
141229,3
7351,1
7351,2
7351,3
31194,1
31194,2
31194,3
15169,1
218277,1
135254,1
12671,1
12671,2
12671,4
20046,1
165247,1
165247,2
165247,3
8237,1
142803,1
142803,2
142803,3
84,1
84,2
84,3
3247,1
3247,2
3247,3
11177,1
11177,2
11177,3
2216,1
96209,1
96209,2
96209,3
81205,1
106980,1
8803,1
16605,1
16605,2
16605,3
16605,4
86389,1
102122,1
102122,2
2062,1
313126,1
313126,2
313126,3
313126,4
910,1
154775,1
21988,1
21988,2
21988,3
3068,1
3068,2
3068,4
1594,1
1594,2
1594,4
158980,1
13182,1
135995,1
135995,2
135995,3
251833,1
65445,1
65445,2
65445,3
7071,1
7071,2
7071,4
252362,1
78173,1
78173,2
78173,4
6996,1
6996,2
3217,1
509,1
509,2
509,3
11131,1
19468,1
103289,1
103289,2
103289,3
1400,1
1398,1
276203,1
26196,1
1343,1
1343,2
5793,1
5793,2
5793,3
5793,4
3191,1
3191,2
2651,1
77348,1
77348,4
8311,1
8311,2
8311,3
832,1
14761,1
14761,2
14761,3
219442,1
219442,2
78250,1
11182,1
11182,2
11182,3
149657,1
152202,1
152202,2
152202,3
2634,1
2634,4
204360,1
204360,2
204360,3
236,1
103291,1
7291,1
7291,2
7291,3
2588,1
69721,1
69721,2
69721,3
1081,1
1081,2
1081,3
1081,5
9709,1
3145,1
3145,2
24775,1
7327,1
3480,1
119305,1
119305,2
119305,3
119305,4
119308,1
11119,1
7275,1
4851,1
3752,1
3752,2
83728,1
83728,2
83728,3
309862,1
15862,1
138766,1
138766,2
138766,3
18157,1
6516,1
141547,1
141547,2
141547,3
13171,1
27744,1
19553,1
943,1
943,2
234702,1
201644,1
2060,1
52200,1
52200,2
52200,3
188574,1
188574,2
188574,3
279526,2
279526,3
279526,6
1582,1
135994,1
87683,1
9608,1
9608,2
4169,1
504,1
504,3
523,1
4999,1
4999,2
4999,3
10592,1
5571,5
204623,1
16003,1
27771,1
151665,1
151665,2
151665,3
151665,5
2186,1
26855,1
4652,1
4652,2
2652,1
2652,3
3263,1
3263,2
24281,1
24281,2
274920,1
13905,1
13140,1
8864,1
7325,1
7325,2
7325,3
5638,1
29667,1
29667,2
29667,3
152297,1
152297,2
152297,3
1274,1
1274,2
778,1
778,2
492,1
492,2
492,3
492,4
7387,1
7387,2
3036,2
14902,1
26778,1
4220,1
1198,1
1198,2
5054,1
5054,2
5054,4
96437,1
4121,1
4121,2
4121,3
37030,1
1584,1
1584,3
261085,1
261085,2
261085,3
145937,1
11118,1
1792,1
11635,1
2835,1
2193,1
2193,2
2193,4
3008,1
3008,2
3942,1
3942,2
3942,4
8682,1
314238,1
314238,2
314238,3
1121,1
1121,2
1121,3
131843,1
131843,2
131843,3
38967,1
158981,1
362,1
362,2
115843,1
16585,1
296843,1
210395,1
3698,1
3698,2
16992,1
16992,2
16992,3
16992,4
187506,1
187506,2
187506,3
203259,1
203259,2
203259,3
2585,1
2585,2
5637,1
58597,1
7122,1
7122,2
200611,1
49379,1
49379,2
11186,1
11186,2
11186,3
11186,4
113598,1
113598,2
217,1
1533,1
118473,1
916,1
211243,1
211243,2
908,1
908,2
908,3
7901,1
19762,1
19762,2
19762,3
19762,4
19576,1
19576,3
122312,1
205201,1
3244,1
3244,2
3244,4
21231,1
21231,2
2626,1
2626,2
121531,1
8312,1
8312,2
144873,1
103221,1
11452,1
454,1
454,2
454,3
28187,1
28187,2
13912,1
119403,1
72,1
72,2
72,3
72,4
7968,1
2715,1
2715,2
2715,4
7710,1
7710,2
7710,3
275072,1
7574,1
7574,2
7574,3
5057,1
5057,2
5057,4
2134,1
2134,3
172023,1
112875,1
11604,1
11604,2
1120,1
1678,1
20450,1
20450,2
3782,1
7776,1
7776,2
59,1
3770,1
3770,2
3770,3
1376,1
5495,1
3287,1
3287,2
114287,1
114287,2
114287,3
305155,2
305155,3
305155,5
6666,1
4106,1
4106,2
4059,1
4059,4
8047,1
78253,1
4366,1
1229,1
70385,2
70385,3
16583,1
16583,2
16583,3
7434,5
2152,1
2152,2
1131,1
20497,1
2777,1
2777,2
2777,4
1644,1
1644,4
9577,1
5586,1
5586,2
5586,4
3322,1
3322,2
3322,4
9159,1
1189,1
27155,1
135,1
8901,1
8901,2
309469,1
75127,1
9643,1
27804,1
8219,1
8219,3
165197,1
165197,2
165197,3
165197,4
237,1
18162,1
3668,1
3668,4
4158,1
4158,4
279627,1
45178,1
1275,1
1275,2
1524,1
157176,1
133152,1
6433,1
1872,1
1872,2
1872,3
117778,1
14549,1
14549,3
19754,1
19754,2
2614,1
2614,2
3256,1
3256,2
3256,4
18831,1
18831,2
1509,1
7788,1
7788,2
7222,1
7222,2
8558,1
8558,2
103244,1
132422,1
1612,1
1612,2
20863,1
143260,1
143260,2
143260,4
79864,1
1230,1
3011,1
1311,1
1311,2
1311,4
119304,1
119304,2
119304,3
4696,1
4696,2
4696,4
103317,1
103317,3
4699,1
4699,2
10791,1
10763,1
10763,2
10763,4
944,1
944,2
5906,1
5906,2
5906,4
1969,1
1969,2
186309,1
103222,2
103222,6
145787,1
145787,2
145787,3
20426,1
20426,2
4175,1
4175,4
4104,1
4104,2
21968,1
21968,2
21968,3
6930,1
6930,2
14404,1
2847,1
5396,1
5396,2
7120,1
119260,2
94085,1
94085,2
996,1
996,3
985,1
985,3
30208,1
266676,2
266676,3
74692,1
2707,1
2707,2
2707,4
7171,1
76,1
4983,1
4983,2
4983,4
2902,2
2902,3
6876,1
134706,1
134706,2
134706,3
228918,1
228918,2
228918,3
9833,1
9833,2
308978,2
308978,3
1188,1
121504,1
121504,2
139,1
139,2
2542,1
2542,2
6310,1
20640,1
2112,1
2112,2
16033,1
244303,1
131631,1
123333,1
18305,1
2647,1
2647,2
144051,1
6204,1
6204,4
1408,1
1408,2
1408,3
7650,1
