game_id,platform_id
881,6
1243,52
9105,82
9105,34
9105,6
9105,39
8511,3
8511,6
8511,14
769,170
769,9
769,34
769,6
769,39
769,12
769,130
164,4
164,6
55038,48
55038,6
55038,49
10184,48
10184,3
10184,6
10184,14
10184,385
10184,49
10184,130
109419,48
21591,9
21591,48
21591,6
24856,48
24856,3
24856,6
24856,14
24856,49
24856,130
10917,7
54844,48
54844,3
54844,6
54844,49
54844,130
2917,6
2917,8
5787,11
5787,6
5787,8
26223,3
26223,6
26223,167
26223,14
26223,49
7311,3
7311,6
7311,130
8851,6
8851,14
8851,13
20063,9
20063,48
20063,46
5850,11
5850,48
5850,6
5850,14
5850,8
81128,48
81128,3
81128,34
81128,6
81128,39
81128,14
81128,49
81128,130
95668,6
4063,11
4063,21
4063,6
4063,8
6063,48
6063,8
131931,34
131931,39
9279,6
9166,69
9166,22
9166,65
9166,125
9166,15
9166,26
9166,77
9166,63
9166,134
9166,93
9166,16
9166,75
9166,25
9166,94
9166,64
144037,169
144037,508
144037,6
144037,167
6743,3
6743,6
6743,14
238675,169
238675,48
238675,6
238675,167
238675,14
238675,49
238675,130
136414,48
136414,6
136414,167
136414,130
19550,9
19550,48
19550,5
19550,6
19550,41
19550,12
19550,49
19550,130
11460,9
11460,48
11460,3
11460,37
11460,34
11460,6
11460,14
11460,46
11460,12
16478,3
16478,6
16478,14
111650,6
111650,14
1375,9
1375,3
1375,6
1375,12
3612,4
5042,6
5042,14
2203,6
2203,14
2203,13
3324,19
13230,34
13230,6
13230,39
13230,14
13230,46
13230,130
7324,9
7324,48
7324,12
7324,49
8471,6
121748,169
121748,48
121748,6
121748,167
121748,49
121748,130
15823,48
15823,3
15823,6
15823,14
15823,49
15823,130
7364,6
9562,9
9562,6
9562,12
8216,9
8216,6
8216,12
11091,34
11091,6
11091,39
11091,14
11091,7
53276,48
53276,6
53276,49
53276,130
75234,48
75234,6
75234,49
75234,130
9523,9
9523,48
9523,3
9523,6
9523,14
9523,46
9523,49
7099,9
7099,6
7099,12
725,6
1168,9
1168,34
1168,13
1168,32
1168,7
1168,38
6268,42
6268,9
6268,6
6268,39
6268,46
6268,32
6268,7
6268,38
6268,55
119247,170
119247,169
119247,48
119247,6
119247,167
119247,49
119247,130
9623,9
9623,3
9623,6
9623,14
9623,12
15646,6
5716,11
5716,6
1406,24
1697,33
