game_id,theme_id
881,1
881,18
1243,1
8511,17
8511,22
8511,31
8511,43
769,1
769,17
769,22
164,1
164,18
55038,1
55038,17
55038,18
10184,18
109419,1
109419,23
109419,31
109419,38
21591,1
24856,19
10917,1
10917,19
54844,1
54844,18
2917,1
2917,17
5787,1
5787,19
26223,43
7311,22
8851,1
8851,17
20063,1
20063,18
20063,19
20063,21
5850,1
5850,38
81128,1
81128,17
81128,19
81128,21
4063,1
6063,1
6063,17
6063,27
131931,1
131931,18
131931,19
131931,21
9279,1
9279,17
9279,19
9166,1
9166,27
144037,1
144037,17
144037,18
6743,1
6743,17
6743,27
238675,19
136414,17
19550,27
19550,40
11460,1
11460,18
16478,18
16478,21
111650,17
111650,39
1375,32
3612,1
5042,17
5042,22
2203,19
2203,31
2203,43
3324,1
7324,32
8471,18
8471,28
121748,1
121748,33
121748,38
15823,22
7364,27
7364,31
7364,44
9562,1
9562,17
9562,18
9562,23
9562,33
8216,22
8216,23
8216,38
11091,17
11091,43
53276,1
53276,17
53276,19
53276,20
53276,21
75234,1
75234,17
75234,27
9523,1
7099,1
725,18
725,41
1168,1
6268,1
119247,1
119247,19
9623,1
15646,1
15646,17
5716,1
5716,18
1406,27
1406,39
1697,1
5126,1
5126,18
5126,23
20009,1
20009,19
9765,17
8122,1
8122,17
8122,27
8122,35
246166,1
246166,17
2251,1
2251,18
2251,27
1250,17
1250,19
1250,20
1250,43
1341,1
1341,18
1341,23
1341,38
128097,1
128097,17
128097,27
225565,17
55,1
55,17
55,22
3221,1
3221,17
3221,27
129097,18
129097,43
111117,27
111117,43
41812,1
41812,18
41812,19
41812,20
41812,43
10973,27
82117,27
82117,28
39185,40
131888,1
21592,1
21592,19
21592,21
3976,1
3976,18
3976,27
23251,19
23251,21
146761,1
146761,18
146761,31
146761,38
146761,43
4236,1
4236,27
4236,39
29065,17
29065,27
222099,1
222099,17
464,1
464,39
6777,1
32964,1
165346,1
165346,38
79044,1
100359,32
5883,1
5883,17
174897,1
174897,17
19979,1
19979,19
19979,21
19979,23
23066,1
23066,17
23066,33
23066,38
2543,1
2543,18
324,17
324,22
14418,1
14418,18
14418,35
5339,1
5339,19
5339,27
5339,35
339,1
339,18
339,27
310545,27
310545,33
310545,44
2109,35
12857,1
12857,18
21843,19
41037,1
41037,23
3762,1
9538,17
9538,18
9538,22
9538,39
4123,1
4123,18
4123,39
4123,41
23769,33
23769,34
23769,38
152180,27
152180,35
295,18
295,22
295,39
27241,1
27241,17
649,1
649,18
649,39
18785,39
245,17
245,18
245,22
647,18
647,39
159,1
159,18
26879,1
26879,17
26879,23
41858,1
41858,19
41858,21
24223,1
24223,19
24223,21
970,1
970,19
970,21
8254,1
8254,19
8254,21
15108,1
15108,19
15108,21
424,1
424,19
424,21
20456,19
20456,21
497,1
497,19
497,21
81085,1
81085,17
966,1
966,19
966,21
76882,1
76882,17
76882,22
76882,23
967,1
967,19
967,21
973,19
973,21
55322,19
55322,20
55322,21
55322,31
55322,38
55322,43
19319,17
19319,21
19319,22
7725,1
7725,19
7725,21
14247,1
14247,17
228374,1
228374,17
228374,19
228374,27
26364,1
26364,17
26364,19
26364,27
4132,1
4132,18
4132,20
4132,21
5444,17
5444,35
144687,1
144687,17
144687,19
26193,1
26193,22
22502,1
22502,17
41876,1
41876,22
41876,31
5503,1
5503,20
5503,23
5503,31
5503,38
7406,17
7406,31
41877,1
41877,22
41877,31
968,1
968,19
968,21
1583,1
1583,27
10632,17
10632,22
6522,43
119277,1
119277,17
119277,38
25821,1
12340,1
558,1
558,33
558,38
11241,1
11241,27
13134,17
13134,27
13134,33
13134,44
8603,1
8603,17
5612,1
5612,27
5612,35
5612,38
9082,1
9082,18
119357,1
119357,17
58075,1
2322,35
341,1
341,17
143574,18
143574,21
143574,33
143574,38
6224,32
74567,19
10479,19
5534,17
5534,27
5534,33
