id,generation,name,abbreviation,summary
12,7.0,Xbox 360,X360,"Xbox 360 brings you a total games and entertainment experience. The largest library of games, including titles that get you right into the thick of it with Kinect. Plus, your whole family can watch HD movies, TV shows, live events, music, sports and more—across all your devices. Xbox 360 is the center of your games and entertainment universe."
32,5.0,Sega Saturn,Saturn,
62,5.0,Atari Jaguar,Jaguar,
150,,Turbografx-16/PC Engine CD,,
306,4.0,Satellaview,,
13,,DOS,DOS,
60,3.0,Atari 7800,Atari7800,
41,8.0,Wii U,WiiU,
410,5.0,Atari Jaguar CD,,
30,4.0,Sega 32X,Sega32,
53,,MSX2,MSX2,
61,4.0,Atari Lynx,Lynx,
77,,Sharp X1,x1,
120,5.0,Neo Geo Pocket Color,,
132,,Amazon Fire TV,FireTV,
413,7.0,Leapster Explorer/LeadPad Explorer,,
153,,Dragon 32/64,,
167,9.0,PlayStation 5,PS5,
154,,Amstrad PCW,APCW,
70,2.0,Vectrex,vectrex,
87,5.0,Virtual Boy,virtualboy,
386,,Meta Quest 2,Meta Quest 2,
390,9.0,PlayStation VR2,PSVR2,
65,,Atari 8-bit,Atari8bit,
158,,Commodore CDTV,,
165,8.0,PlayStation VR,PSVR,
474,7.0,Gizmondo,,
48,8.0,PlayStation 4,PS4,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. PS4 puts gamers first with an astounding launch line-up and over 180 games in development. Play amazing top-tier blockbusters and innovative indie hits on PS4. Developer inspired, gamer focused."
51,3.0,Family Computer Disk System,fds,
94,,Commodore Plus/4,C+4,
123,5.0,WonderSwan Color,,
128,4.0,PC Engine SuperGrafx,supergrafx,
129,,Texas Instruments TI-99,ti-99,
3,,Linux,Linux,"Linux is a free and open-source (FOSS/FLOSS) Operating System. In a more precise and complex definition, Linux is an open-source OS kernel on which a large variety of Operating Systems (known as Linux distributions) are built."
8,6.0,PlayStation 2,PS2,
23,6.0,Dreamcast,DC,
136,4.0,Neo Geo CD,,
134,,Acorn Electron,Acorn Electron,
35,4.0,Sega Game Gear,Game Gear,
39,,iOS,iOS,
44,,Tapwave Zodiac,zod,
6,,PC (Microsoft Windows),PC,
78,4.0,Sega CD,Sega CD,
163,,SteamVR,Steam VR,
147,,AY-3-8606,,
149,,PC-9800 Series,,
24,6.0,Game Boy Advance,GBA,
72,8.0,Ouya,Ouya,"The Ouya (/ˈuːjə/ oo-yə), stylized OUYA, is a microconsole running its own version of the Android operating system, developed by Ouya Inc. Julie Uhrman founded the project in 2012. She brought in designer Yves Béhar to collaborate on the design of the project, and Muffi Ghadiali as product manager to put together the engineering team. Development was funded via Kickstarter, raising $8.5 million and becoming the website's second-highest-earning project in its history.

Units started to ship to Kickstarter backers on March 28, 2013. The console was released to the general public on June 25, 2013, and features an exclusive Ouya store for applications and games designed specifically for the Ouya platform, of which the majority are casual games targeted at or used by a mass audience of casual gamers. Out of the box, Ouya supports media apps such as TwitchTV and XBMC media player. It runs a modified version of Android 4.1 Jelly Bean, and is open to rooting without voiding the warranty (developer models ordered during the Kickstarter campaign for $699 or $1,337 come pre-rooted). The console's hardware design allows it to be easily opened up, requiring only a standard screwdriver for easy modding and possible hardware addons.

All systems can be used as development kits, allowing any Ouya owner to also be a developer, without the need for licensing fees. All games are required to have some kind of free-to-play aspect, whether that be completely free, has a free trial, or has purchasable upgrades, levels, or other in-game items. The Ouya is classified as part of the eighth generation of video game consoles and as such is a rival competing against the PlayStation 4, Xbox One, and Wii U."
85,,Donner Model 30,donner30,
115,,Apple IIGS,,
125,,PC-8800 Series,,
133,,Odyssey 2 / Videopac G7000,,
9,7.0,PlayStation 3,PS3,
11,6.0,Xbox,XBOX,
162,,Oculus VR,Oculus VR,
15,,Commodore C64/128/MAX,C64,
18,3.0,Nintendo Entertainment System,NES,
20,7.0,Nintendo DS,NDS,
116,,Acorn Archimedes,Acorn Archimedes,
117,,Philips CD-i,Philips CDI,
22,5.0,Game Boy Color,GBC,
46,8.0,PlayStation Vita,Vita,
67,2.0,Intellivision,intellivision,
73,,BlackBerry OS,blackberry,
86,4.0,TurboGrafx-16/PC Engine,turbografx16,
66,2.0,Atari 5200,Atari5200,the mother text
108,,PDP-11,pdp11,
109,,CDC Cyber 70,cdccyber70,
113,,OnLive Game System,OnLive,
118,,FM Towns,,
121,,Sharp X68000,,
131,4.0,Super NES CD-ROM System,,
138,2.0,VC 4000,,
139,2.0,1292 Advanced Programmable Video System,,
152,,FM-7,,
155,,Tatung Einstein,,
157,,NEC PC-6000 Series,,
114,5.0,Amiga CD32,Amiga CD32,
161,,Windows Mixed Reality,,
374,,Sharp MZ-2200,,
377,,Plug & Play,,
384,,Oculus Quest,,
