name,released,rating,ratings_count,added,reviews_count,genres,platform,game_mode,status_yet,status_owned,status_beaten,status_toplay,status_dropped,status_playing,platform_visual,genres_visual,rating_rango,genres_clean
Grand Theft Auto V,2013-09-17,4.47,7334,22482,7457,['Action'],"['PC', 'PlayStation', 'Xbox']",Both,557,12857,6455,649,1185,779,"['PC', 'PlayStation', 'Xbox']",['Action'],"(373.0, 7334.0]",['Action']
The Witcher 3: Wild Hunt,2015-05-18,4.64,7142,22119,7261,"['Action', 'RPG']","['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",Singleplayer,1207,12857,5284,850,1025,896,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']","['Action', 'RPG']","(373.0, 7334.0]","['Action', 'RPG']"
Portal 2,2011-04-18,4.58,6066,20829,6123,"['Shooter', 'Puzzle']","['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']",Both,672,13095,5843,410,645,164,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux']","['Shooter', 'Puzzle']","(373.0, 7334.0]","['Shooter', 'Puzzle']"
Counter-Strike: Global Offensive,2012-08-21,3.57,3626,18342,3664,['Shooter'],"['PC', 'PlayStation', 'Xbox', 'Linux']",Multiplayer,267,14099,1143,80,2120,633,"['PC', 'PlayStation', 'Xbox', 'Linux']",['Shooter'],"(373.0, 7334.0]",['Shooter']
Tomb Raider (2013),2013-03-05,4.06,4079,17782,4113,['Action'],"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",Both,700,11584,4522,295,564,117,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",['Action'],"(373.0, 7334.0]",['Action']
Portal,2007-10-09,4.49,4988,17754,5033,"['Action', 'Puzzle']","['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",Singleplayer,473,11144,5320,295,435,87,"['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']","['Action', 'Puzzle']","(373.0, 7334.0]","['Action', 'Puzzle']"
Left 4 Dead 2,2009-11-17,4.09,3397,17480,3424,"['Action', 'Shooter']","['PC', 'Xbox', 'Apple Macintosh', 'Linux']",Both,398,12902,2655,118,1252,155,"['PC', 'Xbox', 'Apple Macintosh', 'Linux']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
The Elder Scrolls V: Skyrim,2011-11-11,4.42,4897,16810,4954,"['Action', 'RPG']","['PC', 'PlayStation', 'Xbox', 'Nintendo']",Singleplayer,530,10003,4036,437,1396,408,"['PC', 'PlayStation', 'Xbox', 'Nintendo']","['Action', 'RPG']","(373.0, 7334.0]","['Action', 'RPG']"
Red Dead Redemption 2,2018-10-26,4.59,5450,16787,5582,['Action'],"['PC', 'PlayStation', 'Xbox']",Both,1018,8791,3579,1669,765,965,"['PC', 'PlayStation', 'Xbox']",['Action'],"(373.0, 7334.0]",['Action']
BioShock Infinite,2013-03-26,4.38,4163,16085,4206,"['Action', 'Shooter']","['PC', 'PlayStation', 'Xbox', 'Linux', 'Nintendo']",Singleplayer,855,9645,4511,447,522,105,"['PC', 'PlayStation', 'Xbox', 'Linux', 'Nintendo']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Half-Life 2,2004-11-16,4.48,4082,16062,4110,"['Action', 'Shooter']","['PC', 'Xbox', 'Android', 'Apple Macintosh', 'Linux']",Both,724,10342,3960,339,595,102,"['PC', 'Xbox', 'Android', 'Apple Macintosh', 'Linux']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Borderlands 2,2012-09-18,4.01,3307,15988,3328,"['Action', 'Shooter', 'RPG']","['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux']",Both,647,11093,2439,253,1335,221,"['PC', 'PlayStation', 'Xbox', 'Android', 'Apple Macintosh', 'Linux']","['Action', 'Shooter', 'RPG']","(373.0, 7334.0]","['Action', 'Shooter', 'RPG']"
Life is Strange,2015-01-29,4.12,3761,15886,3808,['Adventure'],"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",Singleplayer,802,10314,3563,381,672,154,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",['Adventure'],"(373.0, 7334.0]",['Adventure']
BioShock,2007-08-21,4.36,3354,14746,3398,"['Action', 'Shooter']","['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",Singleplayer,658,9552,3319,343,758,116,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Destiny 2,2017-09-06,3.52,2664,14575,2690,"['Action', 'Shooter']","['PC', 'PlayStation', 'Xbox', 'Web']",Both,483,11099,807,175,1600,411,"['PC', 'PlayStation', 'Xbox', 'Web']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
God of War (2018),2018-04-20,4.55,5124,14490,5233,['Action'],"['PC', 'PlayStation']",Singleplayer,730,7323,4411,1213,389,424,"['PC', 'PlayStation']",['Action'],"(373.0, 7334.0]",['Action']
Fallout 4,2015-11-09,3.81,3415,14259,3452,"['Action', 'RPG']","['PC', 'PlayStation', 'Xbox']",Singleplayer,659,9031,2417,437,1386,329,"['PC', 'PlayStation', 'Xbox']","['Action', 'RPG']","(373.0, 7334.0]","['Action', 'RPG']"
PAYDAY 2,2013-08-13,3.52,2240,14130,2263,"['Action', 'Shooter']","['PC', 'Xbox', 'Linux']",Both,501,11065,850,109,1483,122,"['PC', 'Xbox', 'Linux']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Limbo,2010-07-21,4.14,3392,14128,3435,"['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",Singleplayer,585,8984,3394,320,747,98,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']","['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']","(373.0, 7334.0]","['Action', 'Adventure', 'Indie', 'Puzzle', 'Platformer']"
Team Fortress 2,2007-10-10,3.68,2934,14034,2963,"['Action', 'Shooter']","['PC', 'Apple Macintosh', 'Linux']",Multiplayer,199,10911,826,50,1868,180,"['PC', 'Apple Macintosh', 'Linux']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
DOOM (2016),2016-05-12,4.38,3618,14001,3659,"['Action', 'Shooter']","['PC', 'PlayStation', 'Xbox', 'Nintendo']",Both,604,8775,3008,525,782,307,"['PC', 'PlayStation', 'Xbox', 'Nintendo']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Cyberpunk 2077,2020-12-10,4.23,2977,13897,3085,"['Action', 'Shooter', 'RPG']","['PC', 'PlayStation', 'Xbox', 'Nintendo']",Singleplayer,873,7016,2513,2448,510,537,"['PC', 'PlayStation', 'Xbox', 'Nintendo']","['Action', 'Shooter', 'RPG']","(373.0, 7334.0]","['Action', 'Shooter', 'RPG']"
Terraria,2011-05-16,4.07,2462,13493,2490,"['Action', 'Indie', 'Platformer']","['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']",Both,406,9962,1300,204,1380,241,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Linux', 'Nintendo']","['Action', 'Indie', 'Platformer']","(373.0, 7334.0]","['Action', 'Indie', 'Platformer']"
Grand Theft Auto IV,2008-04-29,4.26,3094,13169,3128,['Action'],"['PC', 'PlayStation', 'Xbox']",Both,383,8331,2929,266,1137,123,"['PC', 'PlayStation', 'Xbox']",['Action'],"(373.0, 7334.0]",['Action']
Dota 2,2013-07-09,3.07,2847,13168,2886,"['Action', 'Massively Multiplayer']","['PC', 'Apple Macintosh', 'Linux']",Multiplayer,212,10123,560,32,1765,476,"['PC', 'Apple Macintosh', 'Linux']","['Action', 'Massively Multiplayer']","(373.0, 7334.0]","['Action', 'Massively Multiplayer']"
Warframe,2013-03-25,3.42,2111,13137,2126,"['Action', 'Shooter', 'RPG', 'Massively Multiplayer']","['PC', 'PlayStation', 'Xbox', 'iOS', 'Nintendo']",Both,314,10544,286,83,1632,278,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Nintendo']","['Action', 'Shooter', 'RPG', 'Massively Multiplayer']","(373.0, 7334.0]","['Action', 'Shooter', 'RPG', 'Massively Multiplayer']"
Rocket League,2015-07-07,3.93,2853,12828,2877,"['Sports', 'Racing', 'Indie']","['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",Both,195,9404,877,111,1694,547,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']","['Sports', 'Racing', 'Indie']","(373.0, 7334.0]","['Sports', 'Racing', 'Indie']"
Horizon Zero Dawn,2017-02-28,4.28,3767,12803,3817,"['Action', 'RPG']","['PC', 'PlayStation']",Singleplayer,691,6980,3029,830,785,488,"['PC', 'PlayStation']","['Action', 'RPG']","(373.0, 7334.0]","['Action', 'RPG']"
Metro 2033,2010-03-16,3.94,2278,12727,2285,"['Action', 'Shooter']","['PC', 'Xbox']",Singleplayer,634,9375,2018,184,479,37,"['PC', 'Xbox']","['Action', 'Shooter']","(373.0, 7334.0]","['Action', 'Shooter']"
Rise of the Tomb Raider,2015-11-10,4.04,2796,12384,2820,['Action'],"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",Singleplayer,687,7847,2847,409,436,158,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",['Action'],"(373.0, 7334.0]",['Action']
